Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Mileage,Mileage_naa,Engine,Engine_naa,Power,Power_naa
2010,72000,CNG,Manual,First,5.0,1.75,11.308822619247861,False,998.0,False,58.16,False
2015,41000,Diesel,Manual,First,5.0,12.5,19.67,False,1582.0,False,126.2,False
2011,46000,Petrol,Manual,First,5.0,4.5,18.2,False,1199.0,False,88.7,False
2012,87000,Diesel,Manual,First,7.0,6.0,20.77,False,1248.0,False,88.76,False
2013,40670,Diesel,Automatic,Second,5.0,17.74,15.2,False,1968.0,False,140.8,False
2012,75000,LPG,Manual,First,5.0,2.35,8.970532228049995,False,814.0,False,55.2,False
2013,86999,Diesel,Manual,First,5.0,3.5,23.08,False,1461.0,False,63.1,False
2016,36000,Diesel,Automatic,First,8.0,17.5,11.36,False,2755.0,False,171.5,False
2013,64430,Diesel,Manual,First,5.0,5.2,20.54,False,1598.0,False,103.6,False
2012,65932,Diesel,Manual,Second,5.0,1.95,22.3,False,1248.0,False,74.0,False
2018,25692,Petrol,Manual,First,5.0,9.95,21.56,False,1462.0,False,103.25,False
2012,60000,Petrol,Automatic,First,5.0,4.49,16.8,False,1497.0,False,116.3,False
2015,64424,Diesel,Manual,First,5.0,5.6,25.2,False,1248.0,False,74.0,False
2014,72000,Diesel,Automatic,First,5.0,27.0,12.7,False,2179.0,False,187.7,False
2012,85000,Diesel,Automatic,Second,5.0,17.5,0.0,False,2179.0,False,115.0,False
2014,110000,Diesel,Manual,First,7.0,15.0,13.5,False,2477.0,False,175.56,False
2016,58950,Diesel,Manual,First,5.0,5.4,25.8,False,1498.0,False,98.6,False
2017,25000,Diesel,Manual,First,5.0,5.99,28.4,False,1248.0,False,74.0,False
2014,77469,Diesel,Manual,First,5.0,6.34,20.45,False,1461.0,False,83.8,False
2014,78500,Diesel,Automatic,First,5.0,28.0,14.84,False,2143.0,False,167.62,False
2014,32982,Diesel,Automatic,First,5.0,18.55,22.69,False,1995.0,False,190.0,False
2015,55392,Diesel,Manual,Second,5.0,8.25,23.65,False,1248.0,False,88.5,False
2015,55985,Petrol,Automatic,First,5.0,23.5,13.53,False,1984.0,False,177.01,False
2010,45807,Petrol,Manual,First,5.0,1.87,18.5,False,1197.0,False,80.0,False
2010,33000,Petrol,Automatic,First,5.0,2.85,14.4,False,1598.0,False,103.6,False
2012,51920,Petrol,Manual,First,5.0,4.25,16.8,False,1497.0,False,116.3,False
2012,54000,Diesel,Manual,First,5.0,4.25,23.08,False,1461.0,False,63.1,False
2013,54000,Petrol,Manual,Second,5.0,2.75,20.92,False,998.0,False,67.1,False
2018,37430,Petrol,Manual,First,5.0,9.9,17.5,False,1199.0,False,88.7,False
